id,base_url,url,views,favorites,medium,Average_Hue,Average_Saturation,Average_Value,Average_Hue_Roughness,Average_Saturation_Roughness,Average_Value_Roughness,Value_Contrast,Color_Contrast,frontal_face,profile_face,face_x,face_y,face_size,eye_size,number_of_visible_eyes,eye_x_in_face,eye_y_in_face,eye_x_in_img,eye_y_in_img,HUE_PALETTE_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,HUE_PALETTE_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,HUE_PALETTE_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,HUE_PALETTE_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,HUE_PALETTE_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,HUE_PALETTE_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6,SAT_PALETTE_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,SAT_PALETTE_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,SAT_PALETTE_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,SAT_PALETTE_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,SAT_PALETTE_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,SAT_PALETTE_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6,VAL_PALETTE_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,VAL_PALETTE_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,VAL_PALETTE_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,VAL_PALETTE_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,VAL_PALETTE_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,VAL_PALETTE_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6_6,num_unique_hues,num_unique_sat,num_unique_vals,is_frontal_face,is_profile_face,face_x_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,face_x_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,face_x_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,face_x_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,face_x_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,face_y_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,face_y_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,face_y_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,face_y_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,face_y_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,eye_x_in_img_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,eye_x_in_img_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,eye_x_in_img_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,eye_x_in_img_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,eye_x_in_img_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,eye_y_in_img_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,eye_y_in_img_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,eye_y_in_img_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3_3,eye_y_in_img_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4,eye_y_in_img_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5,HUE_PALETTE_60,HUE_PALETTE_120,HUE_PALETTE_180,HUE_PALETTE_240,HUE_PALETTE_300,HUE_PALETTE_360,SAT_PALETTE_42,SAT_PALETTE_84,SAT_PALETTE_126,SAT_PALETTE_168,SAT_PALETTE_210,SAT_PALETTE_252,VAL_PALETTE_42,VAL_PALETTE_84,VAL_PALETTE_126,VAL_PALETTE_168,VAL_PALETTE_210,VAL_PALETTE_252,face_x_20,face_x_40,face_x_60,face_x_80,face_x_100,face_y_20,face_y_40,face_y_60,face_y_80,face_y_100,eye_x_in_img_20,eye_x_in_img_40,eye_x_in_img_60,eye_x_in_img_80,eye_x_in_img_100,eye_y_in_img_20,eye_y_in_img_40,eye_y_in_img_60,eye_y_in_img_80,eye_y_in_img_100
1,http://raichiyo33.deviantart.com/art/Scavenger-610412766,http://pre12.deviantart.net/0de7/th/pre/i/2016/142/9/4/scavenger_by_raichiyo33-da3f9i6.jpg,4345,549,Digital Art,130.175405394,116.043672981,121.289934474,58.2137802234,98.2744688585,96.3120229127,228.223556519,293.456817627,None,None,None,None,0,0,0,None,None,None,None,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,http://gabbyd70.deviantart.com/art/Lantern-610345147,http://orig08.deviantart.net/2bfb/f/2016/142/5/4/lantern_by_gabbyd70-da3dtbv.jpg,1082,333,Digital Art,95.126238641,70.5614020251,144.52852639,58.6788986465,101.700989887,108.176967594,166.409042358,343.484405518,None,None,None,None,None,None,None,None,None,None,None,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,3,1,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,http://nieris.deviantart.com/art/Tracer-610334171,http://pre09.deviantart.net/c54e/th/pre/i/2016/142/9/5/tracer_by_nieris-da3dkuz.jpg,17912,237,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,http://ti-ri.deviantart.com/art/blink-610412418,http://pre08.deviantart.net/c932/th/pre/f/2016/142/f/d/03_by_ti_ri-da3f98i.png,439,187,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,http://liberlibelula.deviantart.com/art/Art-vs-Artist-610289922,http://pre01.deviantart.net/27e5/th/pre/i/2016/142/c/4/art_vs_artist_by_liberlibelula-da3cmpu.jpg,673,107,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,http://craniumz.deviantart.com/art/tongue-610352540,http://orig07.deviantart.net/e422/f/2016/142/2/c/1111_by_craniumz-da3dz18.png,203,99,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,http://chrispaints.deviantart.com/art/Chance-3-610294712,http://img15.deviantart.net/6c93/i/2016/142/5/a/chance_3_by_chrispaints-da3cqew.png,310,95,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,http://funkymonkey1945.deviantart.com/art/timed-head-sketch-1353-610401540,http://orig08.deviantart.net/e26d/f/2016/142/c/8/timed_head_sketch_1353_by_funkymonkey1945-da3f0uc.png,477,93,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,http://bcnyart.deviantart.com/art/The-Reflection-610317136,http://pre01.deviantart.net/6e55/th/pre/i/2016/142/7/2/the_reflection_by_bcnyart-da3d7ps.jpg,774,91,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,http://rob-joseph.deviantart.com/art/Gladiator-Rise-of-Legends-Praetor-610348546,http://orig08.deviantart.net/df62/f/2016/142/a/2/gladiator__rise_of_legends___praetor_by_rob_joseph-da3dvya.jpg,674,91,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,http://snovve.deviantart.com/art/Pollux-Reference-610329401,http://orig01.deviantart.net/b607/f/2016/142/f/9/pollux_reference_by_snovve-da3dh6h.png,291,80,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,http://kadoodless.deviantart.com/art/Negative-K-Demon-Kadoodless-610355107,http://orig06.deviantart.net/10a6/f/2016/142/0/8/negative_k__demon_kadoodless_by_kadoodless-da3e10j.png,125,74,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,http://getyourdragon.deviantart.com/art/Save-me-610296309,http://pre09.deviantart.net/a380/th/pre/i/2016/142/c/6/save_me_by_getyourdragon-da3crn9.png,105,53,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,http://red-meow.deviantart.com/art/Best-Tracer-in-the-WORLD-610407959,http://img04.deviantart.net/786a/i/2016/142/7/d/best_tracer_in_the_world___by_red_meow-da3f5sn.png,94,47,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,http://joshsummana.deviantart.com/art/Colour-Light-Study-610392547,http://pre00.deviantart.net/c10b/th/pre/f/2016/142/1/7/colour_light_study_by_joshsummana-da3etwj.jpg,158,42,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,http://glamra.deviantart.com/art/Cherry-Revins-610327278,http://pre15.deviantart.net/6449/th/pre/i/2016/142/0/7/cherry_revins_by_glamra-da3dfji.png,85,37,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,http://sockergris.deviantart.com/art/CAOMHA-610299461,http://pre01.deviantart.net/4289/th/pre/f/2016/142/4/3/caomha__by_sockergris-da3cu2t.png,75,35,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,http://o0w0o.deviantart.com/art/To-Wander-610354283,http://img09.deviantart.net/832d/i/2016/142/e/2/to_wander_by_o0w0o-da3e0dn.png,60,35,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,http://siiske.deviantart.com/art/Jacksepticeye-610397550,http://pre01.deviantart.net/0216/th/pre/i/2016/142/c/a/jacksepticeye_by_siiske-da3exri.jpg,48,34,Digital Art,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
